title,age_min,age_max,duration_mins,tags,cost,indoor_outdoor,season,materials_needed,how_to_play,players,parent_caution
Throw Snowballs,2,4,15,"exercise, fun",free,outdoor,winter,"[""gloves"", ""snow"", ""various balls of different sizes"", ""warm clothing""]","['Pack soft snow into small balls and demonstrate how to aim and throw.', 'Set up a target such as a tree, bucket, or drawn circle on a wall for aiming practice.', 'Create a friendly competition by counting hits or distance thrown.', 'Remind children not to aim at people’s faces and to avoid icy patches while playing.']",2+,yes
Ball Kicks,2,4,10,"exercise, gross motor",free,both,all,"[""various balls of different sizes""]","['Set up simple goals with cones, buckets, or chalk lines in an open area.', 'Provide balls of various sizes and demonstrate kicking with the inside of the foot.', 'Let each child practice shooting at the goal and take turns being goalie.', 'Offer encouragement and adjust the goal size or distance to suit different ages.']",2+,yes
Dance Party,2,4,15,"exercise, fun",free,both,all,"[""decorative lights"", ""music player""]","['Create a fun atmosphere with music and decorations like colored lights or streamers.', 'Invite children to move freely to the beat or imitate simple dance moves you demonstrate.', 'Introduce games like freeze dance where everyone stops when the music pauses.', 'Keep drinks nearby and take short breaks so dancers don’t get too tired.']",2+,no
Mini Sticks,2,4,10,"coordination, sports",low,both,all,"[""ball"", ""mini hockey sticks"", ""ribbons"", ""stick"", ""various balls of different sizes""]","['Mark a small playing area and place soft balls and mini hockey sticks for each child.', 'Show how to hold the stick correctly and push the ball toward a makeshift net or target.', 'Practice passing, dribbling, and shooting, taking turns at different positions.', 'Encourage teamwork and remind players to keep their sticks low to avoid accidents.']",3+,yes
Bubble Play,2,4,10,"sensory, fun",low,outdoor,all,"[""bubble solution"", ""bubble wands""]","['Pour bubble solution into trays or shallow pans and set out various bubble wands.', 'Demonstrate blowing softly to create bubbles of different sizes.', 'Encourage children to chase, catch, and pop the bubbles or try making giant ones together.', 'Wipe up slippery spots on the ground to prevent slips during play.']",3+,no
Ride a Bike,3,4,20,"exercise, gross motor",free,outdoor,all,"[""helmet"", ""tricycle or balance bike""]","['Equip each child with a properly fitting helmet and a tricycle, balance bike, or bike with training wheels.', 'Begin on a flat surface, guiding children to push off and pedal while you steady the bike.', 'Gradually release support as they gain balance and confidence.', 'Set up simple obstacles or cones to weave around for a fun challenge once they’re comfortable.']",1+,yes
Freeze Tag,3,4,15,"exercise, group",free,outdoor,all,[],"[""Select one child to be 'It' and explain that anyone tagged must freeze in place."", 'Unfrozen players can tag frozen friends to set them free and back into the game.', ""After a few minutes, choose a new player to be 'It' so everyone has a turn."", 'Play on soft grass or a clear indoor space to avoid trips and falls.']",3+,yes
Fill the Bucket Water Game,3,4,15,"coordination, fun",low,outdoor,summer,"[""cups"", ""large bucket"", ""plastic cups"", ""small balls or pom poms"", ""small bucket"", ""water source""]","['Place a large bucket full of water at one end of the yard and an empty bucket at the other.', 'Give each child a small cup, sponge, or ladle for transferring water.', 'On ‘go,’ children scoop water from the full bucket and hurry to pour it into the empty one.', 'Time the race or compete in teams; for older kids, punch holes in cups to make it trickier.']",2+,yes
Paper Airplanes,3,4,15,"fine motor, STEM",free,both,all,"[""folding instructions or markers"", ""paper sheets""]","['Provide plain paper and show children how to fold a simple paper airplane.', 'Encourage them to experiment with their own folds to see which designs fly best.', 'Mark a starting line and take turns throwing planes, measuring whose goes farthest or straightest.', 'Let kids decorate their planes with markers or stickers between flights.']",1+,no
Avoid the Shark,3,4,15,"exercise, fun",low,indoor,all,"[""cups"", ""foam blocks"", ""large bucket"", ""safe indoor play area"", ""small bucket""]","['Lay down foam mats, towels, or paper as ‘islands’ spaced across the floor.', 'Explain that the floor between islands is ‘shark‑infested water’ that cannot be touched.', 'Challenge children to move from one island to another without falling into the water.', 'Rearrange the islands to increase difficulty and add storytelling about friendly sharks.']",1+,yes
Bean Bag Toss,2,4,10,"coordination, fun",low,both,all,"[""bean bags"", ""laundry baskets or hula hoops""]","['Set up baskets or buckets at varying distances and let children toss beanbags into them.', 'Demonstrate underhand throws and encourage them to aim carefully.', 'Move the targets further back as their throwing improves.', 'Keep score for fun or have them compete in friendly teams.']",2+,yes
Egg and Spoon,3,4,10,"balance, coordination",low,both,all,"[""hard-boiled or plastic eggs"", ""spoons""]","['Provide spoons and hard‑boiled or plastic eggs to each child.', 'Have them practice balancing the egg on the spoon while walking slowly.', 'Set a short course or obstacles to navigate without dropping the egg.', 'For a challenge, have them race or switch hands halfway through.']",1+,yes
Ribbon Sticks,2,4,10,"dance, fine motor",low,both,all,"[""decorative lights"", ""music player"", ""ribbons"", ""stick"", ""sticks""]","['Tie long ribbons to sticks or dowels to create flowing wands.', 'Show children how to wave, twirl, and swirl the ribbons in the air.', 'Play music and let them dance while tracing shapes like circles and figure eights.', 'Remind them to keep space between each other to avoid tangling ribbons.']",2+,yes
Pillow Walk,2,4,10,"balance, gross motor",free,indoor,all,[],"['Place pillows or cushions in a line on the floor to create a soft balance beam.', 'Encourage children to walk across the pillows without stepping off.', 'Add variations such as walking backwards or carrying a stuffed animal.', 'Rearrange the pillows into different patterns for new paths to try.']",1+,no
Kick Bowling,3,4,10,"coordination, fun",low,both,all,"[""folding instructions or markers"", ""paper sheets"", ""various balls of different sizes""]","['Set up empty plastic bottles or pins in a triangular formation.', 'Give each child a ball and have them roll or lightly kick it to knock down the bottles.', 'Count how many fall and reset for another turn.', 'Increase distance or use different sizes of balls as skills improve.']",2+,yes
Climb a Tree,4,5,20,"motor skills, nature",free,outdoor,all,[],"['Find a sturdy tree with low, thick branches suitable for climbing.', 'Show children how to test branches before putting weight on them.', 'Stay close to assist and set a limit on how high they can go.', 'After climbing, look at leaves or insects together and discuss what you see.']",1+,yes
Bean Bag Balance,3,4,10,"balance, motor skills",low,indoor,all,"[""bean bags"", ""laundry baskets or hula hoops""]","['Give each child a bean bag to place on their head, shoulder, or back.', 'Challenge them to walk across a room or follow a line without dropping it.', 'Add obstacles like cones to weave around or have them balance while sitting down and standing up.', 'Switch body parts or increase speed for extra fun.']",1+,no
Jump Waves,3,4,10,"exercise, fun",free,outdoor,summer,[],"['Stand with children at the shoreline where waves gently roll in.', 'Hold hands and count down before jumping over each small wave as it reaches your feet.', 'Encourage them to watch and predict the size of the waves and jump higher when needed.', 'Always stay close in shallow water and never turn your back on the ocean.']",1+,yes
Bubble Wrap Jump,2,4,10,"sensory, fun",low,indoor,all,"[""bubble solution"", ""bubble wands""]","['Spread a sheet of bubble wrap on a flat surface.', 'Invite children to jump, stomp, or crawl across it to hear the pops.', 'Challenge them to pop every bubble in a section or race to pop more than a friend.', 'Supervise to ensure they don’t slip on plastic and dispose of popped sheets properly.']",1+,yes
Helicopter,3,4,10,"coordination, balance",low,both,all,"[""rope"", ""secure anchor point""]","['One player swings a long rope or jump rope in a circle close to the ground like a helicopter blade.', 'Children stand in a ring and jump over the rope as it approaches them.', 'Call out instructions such as jumping on one foot or turning around mid‑jump.', 'Rotate the rope swinger to give everyone a chance and keep the rope low to avoid trips.']",1+,yes
Obstacle Course,3,4,20,"gross motor, problem solving",free,both,all,"[""cardboard box"", ""colored balls or toys"", ""colored markers"", ""rope"", ""secure anchor point""]","['Use household items like chairs, tables, cushions, and boxes to create a path with tunnels and hurdles.', 'Demonstrate how to crawl under tables, climb over cushions, and weave through cones.', 'Time each child as they run the course and encourage them to beat their own time.', 'Rearrange the obstacles to change the route and keep the activity fresh.']",2+,yes
Hike,3,4,30,"exercise, nature",free,outdoor,all,"[""ball"", ""mini hockey sticks"", ""ribbons"", ""stick""]","['Choose a short, easy trail suitable for young children and check the weather.', 'Pack water, snacks, and a small first‑aid kit; wear appropriate shoes.', 'During the hike, point out interesting plants, birds, and rocks, and stop for breaks.', 'Teach children to stay on the path and leave no trace by carrying out any trash.']",2+,yes
Neighbourhood Search,3,4,20,"exploration, scavenger",free,outdoor,all,[],"['Plan a scavenger hunt by making a list of items to find in your neighbourhood (e.g., a red mailbox, a dog, a stop sign).', 'Walk together and have children look for and check off each item on the list.', 'Encourage them to observe and describe what they see and maybe take photos.', 'Finish with a small reward or treat when all items are found.']",1+,no
Jump in the Sprinkler,2,4,10,"exercise, water play",low,outdoor,summer,"[""decorative lights"", ""music player""]","['Set up a lawn sprinkler in a safe area on a warm day.', 'Turn on the water and invite children to run, skip, and dance through the spray.', 'Add games like trying to avoid the water or jumping over the sprinkler stream.', 'Keep towels nearby and limit play if the grass becomes too slippery.']",2+,yes
Catch,3,4,10,"coordination, motor skills",low,both,all,"[""balloons"", ""pool noodle (optional)"", ""various balls of different sizes""]","['Start with a soft, larger ball and show children how to hold out their hands to catch.', 'Toss the ball gently, increasing distance as their confidence grows.', 'Practice different types of throws like underhand and overhead.', 'Once they can catch reliably, switch to smaller balls or play catch with a partner.']",3+,yes
Indoor Skating,3,4,10,"coordination, fun",free,indoor,all,"[""folding instructions or markers"", ""paper sheets""]","['Attach paper plates or cloth pads to children’s feet to slide across hardwood floors.', 'Show them how to glide by shifting weight and pushing off gently.', 'Create a simple route with turns or cones to manoeuvre around.', 'Remove any rugs and use socks to reduce friction, and supervise to prevent falls.']",1+,no
Skating,3,4,20,"exercise, sport",low,both,all,"[""rope"", ""secure anchor point""]","['Visit an ice rink or frozen pond and ensure everyone wears properly fitted skates and helmets.', 'Begin by holding onto the rail or a helper’s hand and practice stepping and gliding.', 'Teach basic stopping and falling safely by bending knees and leaning forward.', 'Take breaks for warmth and hot drinks if skating outdoors.']",1+,yes
Tee-Ball,3,4,10,"sports, coordination",low,both,all,"[""various balls of different sizes""]","['Place a tee‑ball stand at one end of a field and a soft ball on top.', 'Show players how to grip the bat and stand with feet shoulder‑width apart.', 'Let each child take swings, then run bases while others field the ball.', 'Rotate positions so everyone tries batting, fielding, and running bases.']",1+,yes
Long Jump,3,4,10,"exercise, fun",free,both,all,"[""masking tape or painter's tape"", ""small stones or buttons""]","['Mark a starting line and a sand pit or soft landing area using towels or mats.', 'Demonstrate swinging arms and bending knees for a strong jump.', 'Have children take turns jumping and mark each landing spot.', 'Compare distances and encourage improvement with each attempt.']",1+,yes
Yoga,2,4,15,"mindfulness, exercise",free,both,all,[],"['Lay out mats or towels and begin with a few simple yoga poses like tree pose, cat‑cow, and child’s pose.', 'Guide children to hold each pose for a few breaths while focusing on their breathing.', 'Introduce a short story or theme (e.g., animals or outer space) to keep them engaged.', 'Finish with a calming rest pose and encourage them to share how their body feels.']",1+,no
Tobogganing,3,4,20,"exercise, fun",free,outdoor,winter,[],"['Find a snowy hill free of obstacles and check that it’s safe for sledding.', 'Have children sit on the sled, hold on tightly, and push them off gently down the slope.', 'Remind them to walk up the side of the hill to avoid collisions with others coming down.', 'Encourage wearing helmets and taking turns so everyone gets a fair ride.']",1+,yes
Music Parade,2,4,15,"music, fun",low,both,all,[],"['Collect simple instruments like shakers, drums, or pots and wooden spoons.', 'Line up and march around the house or yard, playing rhythms together.', 'Take turns being the parade leader who decides the route and tempo.', 'Invite neighbours or family to watch the parade and clap along.']",1+,no
Action Songs,2,4,10,"music, exercise",free,both,all,[],"['Choose favourite songs with movements such as the Hokey Pokey or Head, Shoulders, Knees and Toes.', 'Demonstrate the actions while singing and encourage children to join in.', 'Switch between fast and slow tempos to keep everyone engaged.', 'Let children suggest new songs or make up their own verses and actions.']",1+,no
Colour Run,3,4,15,"exercise, group",low,outdoor,all,"[""chalk"", ""colored objects"", ""matching areas"", ""small stones or buttons""]","['Draw large coloured shapes or circles on the ground using chalk.', 'Call out a colour and have children run to stand in that space.', 'Add variety by asking them to hop, skip, or crawl to the next colour.', 'Rotate the caller so each child gets a turn to choose the colour.']",3+,no
Door Fringe,2,4,10,"sensory, fun",low,indoor,all,"[""decorative lights"", ""music player""]","['Hang streamers, ribbons, or strips of paper from a doorway to create a fringe curtain.', 'Invite children to run through, feel the texture, or hide behind the strips.', 'Use the doorway as part of pretend play like entering a castle or jungle.', 'Replace the fringe with different materials or colours for new experiences.']",2+,no
Beach Ball Blanket Toss,3,4,10,"teamwork, coordination",low,both,all,"[""various balls of different sizes""]","['Give two or four children a blanket and place a beach ball in the centre.', 'Have them lift and lower the blanket together to bounce the ball up into the air.', 'Count how many times they can toss the ball before it falls off.', 'For a challenge, add more than one ball or switch to a smaller blanket.']",3+,yes
Hide and Seek,3,4,15,"exploration, fun",free,both,all,[],"['One child closes their eyes and counts to a set number while others hide.', 'When counting is finished, the seeker tries to find everyone within the agreed boundary.', 'The first person found becomes the next seeker for the following round.', 'Ensure hiding spots are safe and that younger children can be located easily.']",2+,no
Limbo,3,4,10,"flexibility, fun",free,both,all,"[""rope"", ""secure anchor point""]","['Hold a pole or rope horizontally between two helpers to form the limbo bar.', 'Children take turns leaning backward to pass under the bar without touching it.', 'After each round, lower the bar slightly to increase the difficulty.', 'Play music and cheer each participant; stop when only one person remains.']",1+,no
Outdoor Picasso,3,4,15,"art, sensory",low,outdoor,all,"[""brushes"", ""cups"", ""large bucket"", ""paint"", ""paper or surface"", ""small bucket""]","['Provide paintbrushes and a bucket of water for children to ‘paint’ outside surfaces.', 'Let them brush water onto fences, sidewalks, or rocks to create temporary art.', 'Encourage experimenting with strokes, patterns, and even writing letters or numbers.', 'Talk about how the water darkens surfaces and slowly evaporates in the sun.']",1+,yes
Snow Angels,2,4,10,"sensory, fun",free,outdoor,winter,"[""gloves"", ""snow"", ""warm clothing""]","['Find a clean, untouched patch of snow and lie down on your back.', 'Show children how to sweep their arms up and down and legs in and out to form an angel shape.', 'Carefully stand up by rolling to the side so you don’t disturb the shape.', 'Decorate the finished angels with sticks, stones, or pinecones for faces and buttons.']",1+,yes
Squish and Walk,3,4,10,"balance, coordination",low,both,all,"[""various balls of different sizes""]","['Place an under‑inflated exercise ball under a sturdy blanket or mat.', 'Have children carefully step onto the squishy surface and practice balancing.', 'Encourage them to walk, march, or dance without falling off.', 'Stay nearby to hold hands or assist, and reposition the ball if it shifts.']",1+,yes
Pooh Sticks,3,4,10,"outdoor, game",free,outdoor,all,"[""ball"", ""mini hockey sticks"", ""ribbons"", ""stick""]","['Stand on a small bridge over running water and hand each child a stick.', 'On the count of three, drop the sticks into the upstream side of the water.', 'Watch which stick emerges first on the downstream side to declare a winner.', 'Talk about how currents carry the sticks and try again with leaves or flowers.']",2+,yes
Shadow Catch,3,4,10,"tag, outdoor",free,outdoor,all,[],"['On a sunny day, choose one child to be ‘it’ who tries to step on other players’ shadows.', 'Players dodge and move their bodies to protect their shadows from being caught.', 'When ‘it’ steps on someone’s shadow, that person becomes the new tagger.', 'Play in an open area free of obstacles so everyone can move safely.']",3+,no
Golf,3,4,15,"sports, coordination",low,both,all,"[""cups"", ""plastic cups"", ""small balls or pom poms"", ""water source""]","['Set up a mini golf course using cups, paper targets, or household objects as holes.', 'Provide toy clubs or improvised putters and show how to gently tap the ball.', 'Create simple obstacles like ramps or tunnels to make each hole unique.', 'Keep track of strokes for a friendly competition or just enjoy aiming for the targets.']",1+,no
Stuffie Wagon Ride,2,4,10,"play, transport",free,both,all,[],"['Invite children to load their favourite stuffed animals into a wagon or sled.', 'Let them pull the wagon around indoors or outside, pretending to go on a trip.', 'Take turns being the driver and passenger, stopping at imaginary destinations.', 'Remind them to steer carefully and avoid bumping into furniture or people.']",1+,yes
Hill Roller,3,4,15,"exercise, fun",free,outdoor,all,[],"['Find a gentle grassy hill with no obstacles at the bottom.', 'Have children lie sideways, tuck in their arms, and roll down the slope.', 'Take turns and watch for clear paths before each roll to avoid collisions.', 'Talk about feeling dizzy and encourage sitting down until it passes.']",1+,no
Car Wash,3,4,20,"water play, chore",low,outdoor,summer,"[""cups"", ""helmet"", ""large bucket"", ""pavement or wall"", ""small bucket"", ""sponges"", ""tricycle or balance bike"", ""water""]","['Set up tubs of water, soap, sponges, and cloths in a convenient outdoor spot.', 'Provide toy cars, bikes, or even a tricycle for children to wash and rinse.', 'Assign roles like washer, rinser, and dryer so everyone participates.', 'Finish by drying the toys with towels and reminding them not to waste water.']",1+,yes
Fort Building,3,8,20,"creative, engineering",low,indoor,all,[],"['Gather pillows, blankets, chairs, and boxes to construct a cozy fort.', 'Help children drape blankets over the furniture to create walls and a roof.', 'Add cushions, flashlights, or string lights inside for comfort and ambiance.', 'Encourage imaginative play in the fort and remind them to dismantle it carefully afterwards.']",1+,no
Balloon Ball,3,8,10,"exercise, fun",low,indoor,all,"[""balloons"", ""pool noodle (optional)"", ""various balls of different sizes""]","['Stretch a string or lay a pillow line across a room to act as a net.', 'Use a balloon as the ball and divide children into two teams on either side.', 'Have them tap the balloon over the net, counting how many volleys they achieve.', 'Switch sides and try variations such as using only one hand or sitting while playing.']",1+,yes
Broccoli Trees,3,7,15,"art, sensory",low,indoor,all,"[""brushes"", ""folding instructions or markers"", ""paint"", ""paper or surface"", ""paper sheets""]","['Provide broccoli florets and plates of washable paint in various colours.', 'Show how to dip the flat end of the broccoli into paint and stamp it onto paper.', 'Encourage making tree shapes, forests, or abstract patterns with different colours.', 'Discuss the texture of the broccoli and remind them to wash hands after painting.']",1+,yes
Charades,4,10,15,"communication, game",free,indoor,all,[],"['Choose a theme and write words on slips of paper for the players to act out.', 'One child draws a slip and silently acts out the word using gestures.', 'The rest of the group guesses the word within a set time limit.', 'Whoever guesses correctly becomes the next actor, and you can keep score for fun.']",2+,no
Crafty Cards,4,8,20,"arts, creativity",low,indoor,all,"[""glue"", ""markers"", ""paper"", ""ribbons"", ""scissors"", ""stick""]","['Set out paper, markers, stickers, and glue for creating homemade cards.', 'Encourage children to fold paper, draw pictures, and write personal messages.', 'Add decorative touches like cut‑outs, glitter, or ribbon to make each card unique.', 'Let the cards dry completely before giving them to friends or family.']",1+,yes
Five Things,4,8,10,"communication, emotional",free,indoor,all,[],"['Sit in a circle and pick a category such as animals, fruits, or colours.', 'Each child must quickly name five items in that category without repeating previous answers.', 'If someone gets stuck, pass the turn or use a timer to keep the pace lively.', 'Change categories often to maintain interest and challenge memory.']",1+,no
Housework Hustle,4,8,20,"chore, dance",free,indoor,all,"[""decorative lights"", ""music player""]","['Play upbeat music and assign cleaning tasks like dusting, sweeping, or tidying toys.', 'Encourage kids to dance and move creatively while they complete their chores.', 'Offer points, stickers, or small rewards for finished tasks and fun dance moves.', 'Celebrate together with a mini dance party once all the work is done.']",2+,no
Indoor Baseball,4,8,15,"sports, coordination",low,indoor,all,"[""balloons"", ""pool noodle (optional)"", ""various balls of different sizes""]","['Use a soft ball such as a foam ball or rolled‑up socks and a cardboard tube as a bat.', 'Set up bases using pillows or tape and explain the rules of hitting, running, and scoring.', 'Pitch gently to each child and allow a few swings before running to first base.', 'Clear fragile items from the play area and remind players to swing carefully.']",1+,yes
Initial Game,6,10,10,"learning, word",free,indoor,all,[],"['Choose a five‑letter word and write each letter on separate cards or notes.', 'Challenge children to rearrange the letters to form as many new words as possible.', 'Work individually or in teams and keep a list of all the words you create.', 'Share and spell the words together at the end and see how many you found.']",2+,no
Let’s Roll,3,6,10,"math, numbers",free,indoor,all,[],"['Provide one or two dice and assign each number a simple action like jumping or clapping.', 'Children take turns rolling the dice and performing the corresponding actions.', 'Keep track of completed actions or create an obstacle course where each number adds a section.', 'For older kids, combine two numbers to make more complex movements or maths challenges.']",1+,no
Marshmallow Sculpture,4,8,15,"engineering, creativity",low,indoor,all,[],"['Hand out marshmallows and toothpicks for building three‑dimensional shapes.', 'Show how to connect marshmallows with toothpicks to form cubes, pyramids, and other designs.', 'Encourage experimenting with different structures and testing which are the strongest.', 'Remind children not to eat too many marshmallows until their creations are finished.']",1+,no
Paper Pals,4,7,15,"crafts, imaginative",low,indoor,all,"[""craft supplies"", ""folding instructions or markers"", ""glue"", ""paper"", ""paper sheets""]","['Gather paper bags, glue, yarn, markers, and other craft supplies.', 'Demonstrate cutting and folding the bags to form the body of a puppet.', 'Decorate with faces, hair, and clothing to make each puppet unique.', 'Use the finished puppets to put on a short play or tell a story.']",1+,yes
Polka Dot Slime,3,8,20,"sensory, science",low,indoor,all,"[""colored objects"", ""craft supplies"", ""glue"", ""matching areas"", ""paper""]","['Mix school glue with liquid starch and a few drops of food colouring until a slime forms.', 'Knead the slime until it’s smooth and stretchy without sticking to your hands.', 'Stir in foam beads or small pom‑poms to create colourful polka dots.', 'Store the slime in an airtight container when finished and discuss its texture.']",1+,yes
Runway Ready,4,8,20,dramatic play,free,indoor,all,[],"['Lay out a runway using a carpet, mat, or tape on the floor.', 'Invite children to dress up in costumes or mix‑and‑match outfits from a dress‑up box.', 'Have them walk the runway with confidence while others cheer and snap pretend photos.', 'Encourage fun poses at the end and swap outfits for multiple fashion shows.']",1+,no
Self Portrait,4,8,15,"art, self-awareness",low,indoor,all,"[""brushes"", ""paint"", ""paper or surface""]","['Provide each child with a mirror, paper, pencils, and coloured crayons or paints.', 'Ask them to look closely at their features and draw what they see, focusing on shapes and proportions.', 'Encourage adding details like hair texture, freckles, or glasses to personalise the portrait.', 'Display the finished self‑portraits and celebrate everyone’s unique appearance.']",1+,yes
Simon Says (Indoor),3,8,10,"exercise, listening",free,indoor,all,[],"['Select a leader to act as Simon and gather players in a clear indoor space.', 'Simon gives commands such as ‘touch your toes’ or ‘spin around,’ but players only follow if the command begins with ‘Simon says’.', 'Anyone who follows a command without hearing ‘Simon says’ performs a silly forfeit like making a funny face.', 'Rotate the role of Simon so everyone gets a chance to lead and choose safe, space‑appropriate actions.']",1+,no
Sleeping Lions,4,8,15,"calming, listening",free,indoor,all,[],"['Have all children lie down on the floor pretending to be sleeping lions, staying as still as possible.', 'One player or adult walks around attempting to make the lions giggle or move without touching them.', 'Any lion who moves or laughs joins the walker in trying to make others react.', 'Continue until only one child remains still; that person becomes the next walker.']",1+,no
Straw Sculpture,5,10,15,"engineering, creativity",low,indoor,all,[],"['Provide bendy straws cut into various lengths and connectors like modelling clay or pipe cleaners.', 'Show children how to join the straws to build towers, bridges, or other shapes.', 'Challenge them to create the tallest structure or one that can hold a small toy.', 'Display the finished sculptures and discuss what made each design sturdy.']",1+,yes
Tape Tornado,3,8,10,"motor skills, breath control",low,indoor,all,"[""masking tape or painter's tape"", ""small stones or buttons"", ""various balls of different sizes""]","['Lay strips of masking tape on the floor in swirling or zigzag patterns to form a path.', 'Have children follow the tape by walking, hopping, or crawling along it.', 'Place small tasks or movements at intervals, like doing a spin or a jumping jack.', 'Peel up and redesign the tape path to create new mazes or challenges.']",1+,yes
Two Truths & a Tale,6,10,10,"communication, game",free,indoor,all,[],"['Gather players in a circle and ask each person to think of two true facts and one made‑up story about themselves.', 'Players share their three statements in any order while others listen carefully.', 'The group guesses which statement is the tale before the storyteller reveals the answer.', 'Continue around the circle until everyone has shared; laugh and learn new things about each other.']",2+,no
Make the Bed,2,3,5,chore,free,indoor,all,[],"['Show children how to pull up and straighten the fitted and top sheets on the bed.', 'Let them fluff and arrange pillows and tuck blankets neatly around the mattress.', 'Encourage adding a favourite stuffed animal or decorative pillow on top.', 'Incorporate bed‑making into a daily routine and praise their efforts.']",1+,no
Pick Up Toys and Books,2,3,5,chore,free,indoor,all,"[""container"", ""filler material like rice or sand"", ""small toys""]","['Set out bins or shelves labelled for different types of toys and books.', 'Turn clean‑up time into a matching game where children sort each item into its proper place.', 'Play upbeat music or set a timer to make tidying more lively and focused.', 'Reward their organisation by reading a short story or allowing a few minutes of free play afterwards.']",1+,no
Put Laundry in Hamper,2,3,5,chore,free,indoor,all,[],"['Place laundry hampers in easy‑to‑reach spots around the home.', 'Teach children to pick up their dirty clothes and carry them to the hamper when changing.', 'Make it a fun routine by singing a song or setting a reminder before bedtime.', 'Praise them for keeping their room tidy and talk about how laundry gets cleaned.']",1+,no
Feed Pets,2,3,5,"chore, responsibility",free,both,all,[],"['Show children where pet food is stored and how to measure out the correct amount.', 'Demonstrate pouring food into the pet’s bowl and refilling the water dish.', 'Invite them to call the pet over and watch as it eats to ensure it’s fed properly.', 'Remind kids to wash their hands after handling pet food and dishes.']",1+,no
